AdvNum,Parcel,Face Amount,Certificate Number,WinningBid,Bidder ID,Primary Name On Account
005646,301632300,70.89,0,016.00,00000000,STRUCK TO COUNTY
005647,301632420,3708.14,0,016.00,00000000,STRUCK TO COUNTY
005648,301632430,5481.46,0,016.00,00000000,STRUCK TO COUNTY
005649,301632450,2086.1,0,016.00,00000000,STRUCK TO COUNTY
005650,301632460,2086.1,0,016.00,00000000,STRUCK TO COUNTY
005651,301632540,70.89,0,016.00,00000000,STRUCK TO COUNTY
005652,301632580,5481.46,0,016.00,00000000,STRUCK TO COUNTY
005653,301632590,3708.14,0,016.00,00000000,STRUCK TO COUNTY
005654,301632600,1063.79,0,016.00,00000000,STRUCK TO COUNTY
005655,301632610,1063.79,0,016.00,00000000,STRUCK TO COUNTY
005656,301632620,5481.46,0,016.00,00000000,STRUCK TO COUNTY
005657,301632640,2315.26,0,016.00,00000000,STRUCK TO COUNTY
005658,301632650,2315.26,0,016.00,00000000,STRUCK TO COUNTY
005659,301632660,1147.95,0,016.00,00000000,STRUCK TO COUNTY
005660,301632680,2673.99,0,016.00,00000000,STRUCK TO COUNTY
005661,301632720,2276.99,0,016.00,00000000,STRUCK TO COUNTY
005662,301632730,1147.95,0,016.00,00000000,STRUCK TO COUNTY
005663,301632760,70.89,0,000.00,00071770,MICHAEL LEE STEVENSON JR.
005664,301632790,561.22,0,016.00,00000000,STRUCK TO COUNTY
005665,301632800,561.22,0,016.00,00000000,STRUCK TO COUNTY
005666,301632810,561.22,0,016.00,00000000,STRUCK TO COUNTY
005667,301632820,561.22,0,016.00,00000000,STRUCK TO COUNTY
005668,301632830,1063.79,0,016.00,00000000,STRUCK TO COUNTY
005669,301632840,1063.79,0,016.00,00000000,STRUCK TO COUNTY
005670,301632850,1634.54,0,016.00,00000000,STRUCK TO COUNTY
005671,301632890,719.64,0,016.00,00000000,STRUCK TO COUNTY
005672,301632950,563.21,0,016.00,00000000,STRUCK TO COUNTY
005673,301632970,70.89,0,016.00,00000000,STRUCK TO COUNTY
005674,301632990,1634.54,0,016.00,00000000,STRUCK TO COUNTY
005675,301633000,5542.95,0,016.00,00000000,STRUCK TO COUNTY
005676,301633030,2276.99,0,016.00,00000000,STRUCK TO COUNTY
005677,301633040,2276.99,0,016.00,00000000,STRUCK TO COUNTY
005678,301633090,3769.63,0,016.00,00000000,STRUCK TO COUNTY
005679,301633100,3769.63,0,016.00,00000000,STRUCK TO COUNTY
005680,301633110,1315.76,0,016.00,00000000,STRUCK TO COUNTY
005681,301633200,2572.7,0,016.00,00000000,STRUCK TO COUNTY
005682,301633240,70.89,0,016.00,00000000,STRUCK TO COUNTY
005683,301633250,208.69,0,016.00,00000000,STRUCK TO COUNTY
005684,301633300,2673.99,0,016.00,00000000,STRUCK TO COUNTY
005685,301633310,2673.99,0,016.00,00000000,STRUCK TO COUNTY
005686,301633420,464.09,0,016.00,00000000,STRUCK TO COUNTY
005687,301633460,5542.95,0,016.00,00000000,STRUCK TO COUNTY
005688,301633470,5542.95,0,016.00,00000000,STRUCK TO COUNTY
005689,301633490,719.64,0,016.00,00000000,STRUCK TO COUNTY
005690,301633720,3532.52,0,016.00,00000000,STRUCK TO COUNTY
005691,301633730,1473.08,0,016.00,00000000,STRUCK TO COUNTY
005692,301633740,719.64,0,016.00,00000000,STRUCK TO COUNTY
005693,301633750,719.64,0,016.00,00000000,STRUCK TO COUNTY
005694,301633760,2116.99,0,016.00,00000000,STRUCK TO COUNTY
005695,301633770,2116.99,0,016.00,00000000,STRUCK TO COUNTY
005696,301633780,2116.99,0,016.00,00000000,STRUCK TO COUNTY
005697,301633790,3739.03,0,016.00,00000000,STRUCK TO COUNTY
005698,301633880,5542.95,0,016.00,00000000,STRUCK TO COUNTY
005699,301633890,5542.95,0,016.00,00000000,STRUCK TO COUNTY
005700,301633920,5542.95,0,016.00,00000000,STRUCK TO COUNTY
005701,301633930,208.69,0,016.00,00000000,STRUCK TO COUNTY
005702,301634030,5542.95,0,016.00,00000000,STRUCK TO COUNTY
005703,301634050,3769.63,0,016.00,00000000,STRUCK TO COUNTY
005704,301634080,2673.99,0,016.00,00000000,STRUCK TO COUNTY
005705,301634090,2673.99,0,016.00,00000000,STRUCK TO COUNTY
005706,301634100,1298.41,0,016.00,00000000,STRUCK TO COUNTY
005707,301634110,464.09,0,016.00,00000000,STRUCK TO COUNTY
005708,301634190,208.69,0,016.00,00000000,STRUCK TO COUNTY
005709,301634200,208.69,0,016.00,00000000,STRUCK TO COUNTY
005710,301634250,719.64,0,016.00,00000000,STRUCK TO COUNTY
005711,301634260,2147.59,0,016.00,00000000,STRUCK TO COUNTY
005712,301634270,3769.63,0,016.00,00000000,STRUCK TO COUNTY
005713,301634290,208.69,0,016.00,00000000,STRUCK TO COUNTY
005714,301634300,208.69,0,016.00,00000000,STRUCK TO COUNTY
005715,301634340,70.89,0,016.00,00000000,STRUCK TO COUNTY
005716,301634360,3769.63,0,016.00,00000000,STRUCK TO COUNTY
005717,301634380,5542.95,0,016.00,00000000,STRUCK TO COUNTY
